Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,MARC,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,IMARC,146.355000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,HARC,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,KC3VO,448.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,MARC70,442.750000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
6,W4HFH,147.315000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
7,IW4HFH,147.915000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
8,FNVFMA,146.790000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,IFNVFMA,146.190000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,TNVFMA,146.910000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,ITNVFMA,146.310000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,NAT446,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,NAT146,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,NAT144,144.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,CON,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,CONUHF,445.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,NOAA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,NOAA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,NOAA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,NOAA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,NOAA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,NOAA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,NOAA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
35,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
36,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
37,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,FMARSMD,154.280000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
69,FMARSDC,154.280000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
70,RIDON1,453.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,RIDON2,452.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,RIDON3,452.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
