Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,,146.010000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,,461.025000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,,466.025000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,,462.375000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,,464.600000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,,464.750000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,,462.062500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,,467.062500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,,462.050000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,,467.050000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,,462.125000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,,461.100000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,,466.100000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,,464.625000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,,462.400000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,,464.650000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,,464.700000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
