Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,W3ETX,145.110000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Washington,,,,
2,W3DOS,145.190000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,Washington,,,,
3,K3VOA,147.045000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Washington,,,,
4,W3AGB,147.360000,+,0.600000,,88.5,88.5,023,NN,DV,5.00,,Washington,CQCQCQ,,0,0
5,W3AGB,444.162500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Washington,CQCQCQ,,0,0
6,K3WS,447.675000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Washington,,,,
7,K3VOA,448.575000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,Washington,,,,
8,KC3VO,448.875000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Washington,ARES",,,,
9,WA3KOK,449.975000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,Washington,,,,
10,W3AGB,1283.100000,-,12.000000,,88.5,88.5,023,NN,DV,5.00,,Washington,CQCQCQ,,0,0
