Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,N3KTX,53.470000,-,52.470000,Tone,107.2,88.5,023,NN,FM,5.00,,Catonsville,,,,
2,W3DHS,145.140000,-,144.540000,,88.5,88.5,023,NN,DV,5.00,,Towson,CQCQCQ,,,0
3,K3NXU,145.190000,-,144.590000,Tone,110.9,88.5,023,NN,FM,5.00,,Cockeysville,,,,
4,W3FT,146.670000,-,146.070000,Tone,107.2,88.5,023,NN,FM,5.00,,Towson,,,,
5,WB3DZO,147.030000,+,147.630000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
6,W3PGA,147.240000,+,147.840000,,88.5,88.5,023,NN,FM,5.00,,"Baltimore, Kenwood High School",,,,
7,N3HIA,147.345000,+,147.945000,Tone,127.3,88.5,023,NN,FM,5.00,,Dundalk,,,,
8,W3JEH,223.840000,-,222.240000,,88.5,88.5,023,NN,FM,5.00,,Perry Hall,,,,
9,KS3L,224.680000,-,223.080000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
10,WB3DZO,224.800000,-,223.200000,,88.5,88.5,023,NN,FM,5.00,,Randallstown,,,,
11,WB3DZO,224.960000,-,223.360000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
12,W3DHS,442.112500,+,447.112500,,88.5,88.5,023,NN,DV,5.00,,Towson,CQCQCQ,,,0
13,WB3DZO,443.350000,+,448.350000,,88.5,88.5,023,NN,FM,5.00,,Randallstown,,,,
14,K3OCM,443.850000,+,448.850000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
15,N3MCQ,447.525000,-,442.525000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
16,K3CUJ,448.275000,-,443.275000,Tone,156.7,88.5,023,NN,FM,5.00,,Baltimore,,,,
17,WB3DZO,448.325000,-,443.325000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
18,KB3BHO,448.525000,-,443.525000,Tone,82.5,88.5,023,NN,FM,5.00,,Cockeysville,,,,
19,N3CDY,449.275000,-,444.275000,Tone,107.2,88.5,023,NN,FM,5.00,,Towson,,,,
20,W3PGA,449.575000,-,444.575000,,88.5,88.5,023,NN,FM,5.00,,Baltimore,,,,
21,W3FT,449.625000,-,444.575000,Tone,107.2,88.5,023,NN,FM,5.00,,Towson,,,,
22,N3ST,449.675000,-,444.675000,Tone,167.9,88.5,023,NN,FM,5.00,,Baltimore,,,,
23,N3CDY,927.487500,-,902.487500,Tone,156.7,88.5,023,NN,FM,5.00,,Towson,,,,
24,N3CDY,927.512500,-,902.512500,Tone,156.7,88.5,023,NN,FM,5.00,,Owings Mills,,,,
25,W3DHS,1282.700000,-,1270.700000,,88.5,88.5,023,NN,DV,5.00,,Towson,CQCQCQ,,,0
