Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,N3AUY,29.660000,-,0.100000,Tone,141.3,141.3,023,NN,FM,5.00,,"Silver Spring, EmPwr",,,,
2,N3AGB,53.250000,-,1.000000,,88.5,88.5,023,NN,FM,5.00,,"Ashton, EmPwr",,,,
3,KV3B,53.270000,-,1.000000,,88.5,88.5,023,NN,FM,5.00,,"Gaithersburg, MARC",,,,
4,N3VNG,145.250000,-,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,Damascus,,,,
5,K3YGG,145.290000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Bethesda, NIH, EmPwr",,,,
6,KV3B,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Rockville, MARC, RACES, SkyWarn, EmPwr",,,,
7,K3WX,147.000000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Ashton, EmPwr",,,,
8,KA3LAO,147.180000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Silver Spring, RACES",,,,
9,WB3GXW,147.225000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,Silver Spring,,,,
10,WA3KOK,147.270000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,Germantown,,,,
11,K3WX,224.540000,-,1.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Ashton, EmPwr",,,,
12,K3ATV,224.940000,-,1.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Rockville, RACES, EmPwr",,,,
13,KV3B,442.750000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Rockville, MARC, RACES",,,,
14,K3WX,443.150000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Ashton, EmPwr",,,,
15,N3HF,443.450000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Silver Spring, WX",,,,
16,WA3YOO,443.900000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Rockville, RACES",,,,
17,WA3KOK,444.050000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Burtonsville,,,,
18,KV3B,444.200000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,"Germantown, MARC",CQCQCQ,,0,0
19,WB3GXW,444.250000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Silver Spring,,,,
20,K3YGG,447.925000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,Bethesda,,,,
21,N3AUY,449.025000,-,29.560000,Tone,141.3,88.5,023,NN,FM,5.00,,"Silver Spring, offset?, EmPwr",,,,
22,N3AUY,449.025000,-,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Silver Spring, EmPwr",,,,
23,K3WX,927.725000,-,25.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Ashton, EmPwr",,,,
