Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,K3ERA,145.230000,-,144.630000,Tone,110.9,88.5,023,NN,FM,5.00,,Lanham,,,
2,W3ARL,145.370000,-,144.770000,,88.5,88.5,023,NN,FM,5.00,,Adelphi,,,
3,K3MRC,145.430000,-,144.830000,Tone,114.8,88.5,023,NN,FM,5.00,,Laurel,,,
4,W3EAX,145.490000,-,144.890000,,88.5,88.5,023,NN,FM,5.00,,"College Park, UMD",,,
5,K3GMR,146.610000,-,146.010000,Tone,77.0,88.5,023,NN,FM,5.00,,Bladensburg,,,
6,WA3NAN,146.835000,-,146.235000,,88.5,88.5,023,NN,FM,5.00,,Greenbelt,,,
7,W3GMR,146.880000,-,146.280000,,88.5,88.5,023,NN,FM,5.00,,Greenbelt,,,
8,W3SMR,147.150000,+,147.750000,Tone,114.8,88.5,023,NN,FM,5.00,,Brandywine,,,
9,W3XJ,442.150000,+,447.150000,,88.5,88.5,023,NN,FM,5.00,,Bowie,,,
10,WA3YUV,443.600000,+,448.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Brandywine,,,
11,W3TOM,444.500000,+,449.500000,,88.5,88.5,023,NN,FM,5.00,,Accokeek,,,
12,N3LHD,444.650000,+,449.650000,,88.5,88.5,023,NN,FM,5.00,,Upper Marlboro,,,
13,WA3GPC,444.700000,+,449.700000,Tone,167.9,88.5,023,NN,FM,5.00,,Laurel,,,
14,N3ST,448.925000,-,443.925000,Tone,167.9,88.5,023,NN,FM,5.00,,Suitland,,,
