Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WB2HWW,29.660000,-,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Brooklyn,,,,
2,W2CMA,145.230000,-,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Brooklyn Heights,,,,
3,KC2RA,146.430000,split,147.430000,Tone,136.5,136.5,023,NN,FM,5.00,,Brooklyn,,,,
4,KB2NQT,146.730000,-,147.430000,Tone,88.5,136.5,023,NN,FM,5.00,,Brooklyn,,,,
5,KB2NGU,147.300000,+,147.430000,Tone,146.2,88.5,023,NN,FM,5.00,,Brooklyn,,,,
6,N2ROW,224.340000,-,147.430000,Tone,136.5,88.5,023,NN,FM,5.00,,Brooklyn Heights,,,,
7,W2SN,224.600000,-,147.430000,Tone,100.0,88.5,023,NN,FM,5.00,,Brooklyn,,,,
8,NN2N,224.740000,-,147.430000,Tone,123.0,88.5,023,NN,FM,5.00,,Brooklyn,,,,
9,K2QQJ,438.475000,-,147.430000,Tone,118.8,88.5,023,NN,FM,5.00,,Brooklyn,,,,
10,N2GQ,440.000000,+,445.000000,Tone,114.8,114.8,023,NN,FM,5.00,,Brooklyn,,,,
11,N2XPK,440.050000,+,445.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Brooklyn,,,,
12,K2QQJ,440.500000,+,445.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Brooklyn,,,,
13,N2ROW,441.100000,+,445.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Brooklyn,,,,
14,K2QQJ,444.725000,+,445.000000,Tone,118.8,88.5,023,NN,FM,5.00,,Brooklyn,,,,
15,N2UOL,446.175000,-,445.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Brooklyn,,,,
16,WB2SLV,446.225000,-,445.000000,Tone,162.2,88.5,023,NN,FM,5.00,,Brooklyn,,,,
17,W2CMA,446.675000,-,445.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Brooklyn,,,,
18,K3VI,446.730000,-,445.000000,Tone,131.8,88.5,023,NN,FM,5.00,,Brooklyn,,,,
19,K2RMX,446.825000,-,445.000000,Tone,141.3,141.3,023,NN,FM,5.00,,"Brooklyn, Downtown",,,,
20,KB2NGU,448.375000,-,445.000000,Tone,162.2,88.5,023,NN,FM,5.00,,Brooklyn,,,,
21,KB2PRV,448.975000,-,445.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Brooklyn,,,,
22,W2CXN,449.375000,-,445.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Brooklyn,,,,
23,K2MAK,449.775000,-,445.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Brooklyn,,,,
24,WB2VTJ,449.825000,-,445.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Brooklyn,,,,
25,N2HBA,927.962500,-,445.000000,Tone,151.4,88.5,023,NN,FM,5.00,,Brooklyn,,,,
