Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,W2EJ,146.640000,-,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Mineola,,,
2,WA2LQO,146.745000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Bethpage,,,
3,WB2WAK,146.805000,-,0.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Plainview,,,
4,WB2CYN,147.135000,+,0.000000,Tone,136.5,136.5,023,NN,FM,5.00,,East Meadow,,,
5,WA2UZE,147.330000,+,0.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Plainview,,,
6,WA2YUD,224.540000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,East Rockaway,,,
7,W2EJ,441.350000,+,0.000000,Tone,107.2,88.5,023,NN,FM,5.00,,Mineola,,,
8,KC2AOY,441.400000,+,0.000000,Tone,151.4,151.4,023,NN,FM,5.00,,Plainview,,,
9,KC2DVQ,443.250000,+,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Mineola,,,
10,K2CX,443.325000,+,0.000000,Tone,141.3,141.3,023,NN,FM,5.00,,East Meadow,,,
11,KB2BWV,443.525000,+,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,East Meadow,,,
12,AA2UC,443.800000,+,0.000000,Tone,141.3,88.5,023,NN,FM,5.00,,East Meadow,,,
13,WB2IIQ,444.650000,+,0.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Valley Stream,,,
14,WB2ERS,444.750000,+,0.000000,Tone,110.9,110.9,023,NN,FM,5.00,,East Meadow,,,
15,NC2PD,444.887500,+,0.000000,Tone,179.9,88.5,023,NN,FM,5.00,,East Meadow,,,
16,N2YXZ,445.975000,-,0.000000,Tone,118.8,88.5,023,NN,FM,5.00,,Carle Place,,,
17,WB2WAK,446.425000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Malverne,,,
18,WB2WAK,446.475000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Plainview,,,
19,KE2EJ,447.200000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Plainview,,,
20,N2FLF,447.350000,-,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Plainview,,,
21,N2ION,447.925000,-,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,Oceanside,,,
22,WB2CYN,447.975000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Syosset,,,
23,N2HBA,448.025000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Syosset,,,
24,N2ZEI,448.625000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Valley Stream,,,
25,W2KPQ,449.125000,-,0.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Plainview,,,
26,K2ATT,449.300000,-,0.000000,Tone,156.7,156.7,023,NN,FM,5.00,,Bethpage,,,
27,KB2AZY,449.675000,-,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Hempstead,,,
