Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,KQ2H,29.620000,-,0.000000,Tone,146.2,88.5,023,NN,FM,5.00,,Manhattan,,,
2,NI2O,29.660000,-,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Manhattan,,,
3,N2HBA,29.680000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,"Manhattan, Empire State Bldg",,,
4,N2ROW,53.410000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,"Manhattan, Empire State Bldg",,,
5,K2HR,145.290000,-,0.000000,Tone,94.8,94.8,023,NN,FM,5.00,,Manhattan,,,
6,WR2MSN,145.570000,split,146.570000,Tone,192.8,88.5,023,NN,FM,5.00,,Manhattan,,,
7,WB2ZSE,147.000000,-,146.570000,Tone,136.5,136.5,023,NN,FM,5.00,,Manhattan,,,
8,N2JDW,147.150000,+,146.570000,Tone,136.5,123.0,023,NN,FM,5.00,,Manhattan,,,
9,W2ML,147.195000,+,146.570000,Tone,136.5,88.5,023,NN,FM,5.00,,Manhattan,,,
10,K2NYR,147.240000,+,146.570000,Tone,94.8,94.8,023,NN,FM,5.00,,Manhattan,,,
11,W2ABC,147.270000,+,146.570000,Tone,141.3,141.3,023,NN,FM,5.00,,Manhattan,,,
12,WA2ZLB,147.360000,+,146.570000,Tone,107.2,107.2,023,NN,FM,5.00,,"Manhattan,  Rockefeller Center",,,
13,WR2MSN,223.760000,-,146.570000,Tone,192.8,88.5,023,NN,FM,5.00,,Manhattan,,,
14,KB2TM,223.900000,-,146.570000,Tone,141.3,141.3,023,NN,FM,5.00,,Manhattan,,,
15,WA2ZLB,223.940000,-,146.570000,Tone,107.2,88.5,023,NN,FM,5.00,,"Manhattan,  Rockefeller Center",,,
16,KB2PRV,223.980000,-,146.570000,Tone,141.3,88.5,023,NN,FM,5.00,,Manhattan,,,
17,K2NYR,224.260000,-,146.570000,Tone,74.4,88.5,023,NN,FM,5.00,,Manhattan,,,
18,N2SMI,224.340000,-,146.570000,Tone,136.5,88.5,023,NN,FM,5.00,,Manhattan,,,
19,NY4Z,224.440000,-,146.570000,Tone,74.4,88.5,023,NN,FM,5.00,,Manhattan,,,
20,WA2HDE,224.660000,-,146.570000,Tone,127.3,88.5,023,NN,FM,5.00,,Manhattan,,,
21,KQ2H,224.800000,-,146.570000,Tone,141.3,88.5,023,NN,FM,5.00,,Manhattan,,,
22,WA2WCB,440.350000,+,146.570000,Tone,127.3,88.5,023,NN,FM,5.00,,Manhattan,,,
23,WR2MSN,440.425000,+,146.570000,Tone,156.7,88.5,023,NN,FM,5.00,,Manhattan,,,
24,NY4Z,440.600000,+,146.570000,Tone,141.3,88.5,023,NN,FM,5.00,,Manhattan,,,
25,NE2E,441.450000,+,146.570000,Tone,123.0,88.5,023,NN,FM,5.00,,Manhattan,,,
26,NY4Z,442.050000,+,146.570000,Tone,192.8,88.5,023,NN,FM,5.00,,Manhattan,,,
27,KB2RQE,442.450000,+,146.570000,Tone,179.9,179.9,023,NN,FM,5.00,,Manhattan,,,
28,N2YN,443.650000,+,448.650000,Tone,77.0,77.0,023,NN,FM,5.00,,Manhattan,,,
29,K2JRC,443.700000,+,448.650000,Tone,127.3,127.3,023,NN,FM,5.00,,Manhattan,,,
30,N2ION,444.050000,+,448.650000,Tone,114.8,114.8,023,NN,FM,5.00,,Manhattan,,,
31,WA2CBS,445.075000,-,448.650000,Tone,114.8,88.5,023,NN,FM,5.00,,Manhattan,,,
32,K2NYR,445.225000,-,448.650000,Tone,74.4,88.5,023,NN,FM,5.00,,Manhattan,,,
33,K2DIG,445.275000,-,448.650000,,88.5,88.5,023,NN,FM,5.00,,Manhattan,,,
34,WG2MSK,445.475000,-,448.650000,,88.5,88.5,023,NN,DV,5.00,,United States,CQCQCQ,,0
35,NY4Z,446.275000,-,448.650000,Tone,141.3,88.5,023,NN,FM,5.00,,Manhattan,,,
36,KC2LAI,446.810000,-,448.650000,Tone,71.9,88.5,023,NN,FM,5.00,,Manhattan,,,
37,N2BEI,446.900000,-,448.650000,Tone,136.5,88.5,023,NN,FM,5.00,,Manhattan,,,
38,KF2GV,446.925000,-,448.650000,,88.5,69.3,023,NN,FM,5.00,,Manhattan,,,
39,WB2ZTH,447.175000,-,448.650000,Tone,141.3,88.5,023,NN,FM,5.00,,Manhattan,,,
40,KE2EJ,447.200000,-,448.650000,Tone,100.0,88.5,023,NN,FM,5.00,,Manhattan,,,
41,WA2LYQ,447.725000,-,448.650000,Tone,141.3,88.5,023,NN,FM,5.00,,Bronx,,,
42,WA2ZLB,447.825000,-,448.650000,Tone,107.2,107.2,023,NN,FM,5.00,,"Manhattan,  Rockefeller Center",,,
43,K2MAK,448.275000,-,448.650000,Tone,107.2,88.5,023,NN,FM,5.00,,Manhattan,,,
44,KC2IMB,448.430000,-,448.650000,Tone,107.2,88.5,023,NN,FM,5.00,,Manhattan,,,
45,W2RGM,448.475000,-,448.650000,Tone,127.3,88.5,023,NN,FM,5.00,,Manhattan,,,
46,W2RGM,448.500000,-,448.650000,Tone,127.3,88.5,023,NN,FM,5.00,,Manhattan,,,
47,K2TC,448.580000,-,448.650000,Tone,114.8,88.5,023,NN,FM,5.00,,Manhattan,,,
48,N2JDW,449.025000,-,448.650000,Tone,123.0,123.0,023,NN,FM,5.00,,Manhattan,,,
49,KQ2H,449.225000,-,448.650000,Tone,82.5,67.0,023,NN,FM,5.00,,"Manhattan, Empire State Building",,,
50,W2ML,449.325000,-,448.650000,Tone,136.5,88.5,023,NN,FM,5.00,,Manhattan,,,
51,N2YLD,449.575000,-,448.650000,Tone,141.3,88.5,023,NN,FM,5.00,,"New York City,  Times Square",,,
52,WB2SEB,449.625000,-,448.650000,Tone,179.9,179.9,023,NN,FM,5.00,,"Manhattan, Sheraton Hotel & Tower",,,
53,WB2ZSE,449.800000,-,448.650000,Tone,114.8,88.5,023,NN,FM,5.00,,Manhattan,,,
54,KB2HRA,449.925000,-,448.650000,Tone,114.8,88.5,023,NN,FM,5.00,,Manhattan,,,
55,N2NGK,449.975000,-,448.650000,,88.5,88.5,023,NN,FM,5.00,,Lake Placid,,,
56,KQ2H,927.937500,-,448.650000,Tone,151.4,82.5,023,NN,FM,5.00,,"Manhattan, Empire State Bldg",,,
