Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WB2ZZO,145.270000,-,0.000000,Tone,94.8,88.5,023,NN,FM,5.00,,"Corona, Hall of Science",,,
2,K2EAR,145.350000,-,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,Rosedale,,,
3,K2CJP,145.410000,-,0.000000,Tone,114.8,114.8,023,NN,FM,5.00,,Glen Oaks,,,
4,W2FWG,146.670000,-,0.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Queens Village,,,
5,NB2A,146.745000,-,0.000000,Tone,136.5,136.5,023,NN,FM,5.00,,Kew Gardens,,,
6,W2VL,146.850000,-,0.000000,Tone,136.5,141.3,023,NN,FM,5.00,,Glen Oaks,,,
7,K2HAM,147.090000,+,0.000000,Tone,114.8,82.5,023,NN,FM,5.00,,Flushing,,,
8,N2XBA,224.460000,-,0.000000,,88.5,88.5,023,NN,FM,5.00,,Kew Gardens,,,
9,W2KPQ,224.820000,-,0.000000,Tone,136.5,88.5,023,NN,FM,5.00,,Glen Oaks,,,
10,N2PZ,439.525000,-,434.525000,Tone,114.8,88.5,023,NN,FM,5.00,,Flushing,,,
11,WB2HWW,440.700000,+,445.700000,Tone,114.8,88.5,023,NN,FM,5.00,,"Flushing, Queens College",,,
12,KB2EKX,440.750000,+,445.700000,Tone,162.2,88.5,023,NN,FM,5.00,,Glen Oaks,,,
13,NY4Z,442.100000,+,445.700000,,88.5,88.5,023,NN,FM,5.00,,Queens,,,
14,WB2QBP,442.650000,+,445.700000,Tone,141.3,88.5,023,NN,FM,5.00,,Queens Village,,,
15,KB2YHS,444.550000,+,445.700000,Tone,88.5,88.5,023,NN,FM,5.00,,Far Rockaway,,,
16,KC2CQR,444.725000,+,449.725000,,88.5,88.5,023,NN,FM,5.00,,Queens,,,
17,KB2HRA,444.950000,+,449.725000,Tone,114.8,88.5,023,NN,FM,5.00,,Flushing,,,
18,NB2A,445.175000,-,449.725000,Tone,141.3,88.5,023,NN,FM,5.00,,Queens,,,
19,K2CJP,445.375000,-,449.725000,Tone,114.8,88.5,023,NN,FM,5.00,,Glen Oaks,,,
20,N2XPM,445.525000,-,449.725000,Tone,136.5,136.5,023,NN,FM,5.00,,Beechhurst ,,,
21,K2TC,447.025000,-,449.725000,Tone,107.2,88.5,023,NN,FM,5.00,,Glen Oaks,,,
22,KC2EFN,447.325000,-,449.725000,Tone,107.2,107.2,023,NN,FM,5.00,,Whitestone,,,
23,WB2VTJ,448.775000,-,449.725000,Tone,114.8,88.5,023,NN,FM,5.00,,Glen Oaks,,,
24,N2ION,449.075000,-,449.725000,Tone,110.9,88.5,023,NN,FM,5.00,,Jamaica,,,
25,KB2YHS,449.275000,-,449.725000,Tone,88.5,88.5,023,NN,FM,5.00,,Maspeth,,,
26,NB2A,927.287500,split,902.600000,DTCS,88.5,88.5,271,NN,FM,5.00,,Kew Gardens,,,
27,W2VL,1288.000000,-,902.600000,Tone,136.5,88.5,023,NN,FM,5.00,,Glen Oaks,,,
