Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,KC2GOW,53.830000,-,52.830000,Tone,136.5,136.5,023,NN,FM,5.00,,Staten Island,,,,
2,WA2IAF,146.880000,-,52.830000,Tone,141.3,141.3,023,NN,FM,5.00,,Staten Island,,,,
3,KC2GOW,147.315000,+,52.830000,Tone,118.8,118.8,023,NN,FM,5.00,,"Staten Island, Todt Hill",,,,
4,W2RJR,223.840000,-,52.830000,Tone,141.3,88.5,023,NN,FM,5.00,,Staten Island,,,,
5,KC2LEB,440.550000,+,52.830000,Tone,141.3,141.3,023,NN,FM,5.00,,"Staten Island, North shore",,,,
6,KB2EA,442.800000,+,52.830000,Tone,71.9,88.5,023,NN,FM,5.00,,Staten Island,,,,
7,KC2GOW,445.125000,-,52.830000,Tone,141.3,141.3,023,NN,FM,5.00,,"Staten Island, Todt Hill",,,,
8,W2CWW,445.325000,-,52.830000,Tone,156.7,88.5,023,NN,FM,5.00,,Staten Island,,,,
9,N2EHN,445.575000,-,52.830000,Tone,141.3,141.3,023,NN,FM,5.00,,"Staten Island, North shore",,,,
10,KA2PBT,445.825000,-,52.830000,Tone,156.7,156.7,023,NN,FM,5.00,,Staten Island,,,,
11,N2BBO,445.875000,-,52.830000,Tone,136.5,88.5,023,NN,FM,5.00,,Staten Island,,,,
12,KB2NQT,447.075000,-,52.830000,Tone,114.8,88.5,023,NN,FM,5.00,,Staten Island,,,,
13,WA2IAF,447.375000,-,52.830000,Tone,141.3,141.3,023,NN,FM,5.00,,Staten Island,,,,
14,N2ZD,447.725000,-,52.830000,,88.5,88.5,023,NN,FM,5.00,,Staten Island,,,,
15,N2MCC,448.425000,-,52.830000,Tone,141.3,88.5,023,NN,FM,5.00,,"Staten Island, South Shore",,,,
16,N2IXU,448.475000,-,52.830000,Tone,110.9,88.5,023,NN,FM,5.00,,Staten Island,,,,
17,N2YLD,449.825000,-,52.830000,,88.5,88.5,023,NN,FM,5.00,,"Staten Island, South Shore",,,,
18,KC2GOW,927.437500,-,902.062500,Tone,100.0,88.5,023,NN,FM,5.00,,Staten Island,,,,
19,KC2GOW,927.700000,split,902.037500,Tone,100.0,88.5,023,NN,FM,5.00,,Staten Island,,,,
