Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WB2CIK,53.110000,-,51.330000,Tone,107.2,107.2,023,NN,FM,5.00,,Melville,,,
2,KA2RGI,53.790000,-,51.330000,Tone,156.7,88.5,023,NN,FM,5.00,,Yaphank,,,
3,W2RGM,53.850000,-,51.330000,Tone,114.8,88.5,023,NN,FM,5.00,,Dix Hills,,,
4,W2RC,145.150000,-,51.330000,Tone,136.5,136.5,023,NN,FM,5.00,,Port Jefferson,,,
5,W2DQ,145.210000,-,51.330000,Tone,136.5,88.5,023,NN,FM,5.00,,Yaphank,,,
6,WB2BQW,145.250000,-,51.330000,Tone,100.0,88.5,023,NN,FM,5.00,,Farmingville,,,
7,WB2BQW,145.250000,-,51.330000,Tone,114.8,67.0,023,NN,FM,5.00,,Riverhead,,,
8,N2NEI,145.270000,-,51.330000,Tone,136.5,136.5,023,NN,FM,5.00,,"East Hampton, EOC",,,
9,K2SPD,145.310000,-,51.330000,Tone,118.8,118.8,023,NN,FM,5.00,,Farmingville,,,
10,WA2LQO,145.330000,-,51.330000,Tone,136.5,136.5,023,NN,FM,5.00,,Hauppauge,,,
11,N2NFI,145.370000,-,51.330000,Tone,136.5,136.5,023,NN,FM,5.00,,Manorville,,,
12,W2LRC,145.430000,-,51.330000,Tone,136.5,136.5,023,NN,FM,5.00,,Hauppauge,,,
13,N2FXE,146.595000,+,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Rocky Point,,,
14,W2GSB,146.685000,-,147.595000,Tone,110.9,110.9,023,NN,FM,5.00,,North Lindenhurst,,,
15,WA2UMD,146.715000,-,147.595000,Tone,136.5,136.5,023,NN,FM,5.00,,Farmingville,,,
16,WA2VNV,146.760000,-,147.595000,Tone,136.5,136.5,023,NN,FM,5.00,,Selden,,,
17,W2OQI,146.820000,-,147.595000,Tone,136.5,136.5,023,NN,FM,5.00,,Middle Island,,,
18,WB2MOT,146.940000,-,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Holtsville,,,
19,K2TKE,146.940000,-,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Setauket,,,
20,WB2ROL,147.030000,+,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Central Islip,,,
21,WD2NY,147.030000,+,147.595000,,88.5,88.5,023,NN,DV,5.00,,Hauppauge,CQCQCQ,,0
22,K2YBW,147.045000,+,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Setauket,,,
23,W2RGM,147.075000,+,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Dix Hills,,,
24,WA2UEG,147.195000,+,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Hampton,,,
25,WR2ABA,147.210000,+,147.595000,Tone,136.5,136.5,023,NN,FM,5.00,,Huntington,,,
26,KB2UR,147.255000,+,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,North Babylon,,,
27,KB2AKH,147.285000,+,147.595000,Tone,97.4,97.4,023,NN,FM,5.00,,Melville,,,
28,K2IRG,147.345000,+,147.595000,Tone,100.0,88.5,023,NN,FM,5.00,,Islip,,,
29,W2KPQ,147.375000,+,147.595000,Tone,136.5,136.5,023,NN,FM,5.00,,Selden,,,
30,W2GSB,223.860000,-,147.595000,Tone,110.9,110.9,023,NN,FM,5.00,,West Islip,,,
31,KB2UR,224.120000,-,147.595000,Tone,131.8,88.5,023,NN,FM,5.00,,North Babylon,,,
32,W2RGM,224.560000,-,147.595000,Tone,136.5,88.5,023,NN,FM,5.00,,Dix Hills,,,
33,W2HLI,224.600000,-,147.595000,,88.5,88.5,023,NN,FM,5.00,,East Hampton,,,
34,W2LRC,224.620000,-,147.595000,,88.5,88.5,023,NN,FM,5.00,,Smithtown,,,
35,W2DQ,224.680000,-,147.595000,Tone,103.5,88.5,023,NN,FM,5.00,,Yaphank,,,
36,WA2LIR,224.860000,-,147.595000,Tone,107.2,88.5,023,NN,FM,5.00,,Farmingville,,,
37,,224.900000,-,147.595000,Tone,123.0,88.5,023,NN,FM,5.00,,Rocky Point,,,
38,W2AMC,440.050000,+,147.595000,Tone,107.2,107.2,023,NN,FM,5.00,,Greenport,,,
39,W2TOB,440.250000,+,147.595000,,88.5,88.5,023,NN,DV,5.00,,North Lindenhurst,CQCQCQ,,0
40,W2GSB,440.850000,-,147.595000,Tone,110.9,110.9,023,NN,FM,5.00,,West Islip,,,
41,AG2I,442.050000,+,147.595000,Tone,114.8,88.5,023,NN,FM,5.00,,Holtsville,,,
42,N2NFI,442.300000,+,147.595000,Tone,114.8,88.5,023,NN,FM,5.00,,Riverhead,,,
43,K2BNL,442.400000,+,147.595000,Tone,114.8,88.5,023,NN,FM,5.00,,Upton,,,
44,WB2CIK,442.950000,+,147.595000,Tone,114.8,88.5,023,NN,FM,5.00,,Melville,,,
45,N2FXE,443.900000,+,448.900000,Tone,123.0,88.5,023,NN,FM,5.00,,Rocky Point,,,
46,WD2NY,444.237500,+,449.237500,,88.5,88.5,023,NN,DV,5.00,,Hauppauge,CQCQCQ,,0
47,N2HBA,444.600000,+,449.237500,Tone,136.5,136.5,023,NN,FM,5.00,,Bohemia,,,
48,WR2UHF,444.700000,+,449.237500,Tone,114.8,114.8,023,NN,FM,5.00,,Hauppauge,,,
49,K2LI,445.725000,-,449.237500,Tone,91.5,88.5,023,NN,FM,5.00,,Farmingville,,,
50,K2SPD,446.512500,-,449.237500,Tone,118.8,118.8,023,NN,FM,5.00,,Farmingville,,,
51,W2DQ,446.625000,-,449.237500,Tone,110.9,88.5,023,NN,FM,5.00,,Yaphank,,,
52,KB2UR,446.775000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,North Babylon,,,
53,WA2UMD,447.525000,-,449.237500,,88.5,88.5,023,NN,FM,5.00,,Selden,,,
54,WA2UMD,447.775000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,Islip Terrace,,,
55,WA2UMD,447.800000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,Selden,,,
56,KF2GV,448.225000,-,449.237500,Tone,69.3,69.3,023,NN,FM,5.00,,"Huntington, Huntington Hospital",,,
57,W2OQI,448.325000,-,449.237500,Tone,107.2,88.5,023,NN,FM,5.00,,Southold,,,
58,W2RGM,448.475000,-,449.237500,Tone,127.3,88.5,023,NN,FM,5.00,,Hauppauge,,,
59,W2RGM,448.500000,-,449.237500,Tone,114.8,127.3,023,NN,FM,5.00,,Dix Hills,,,
60,W2RGM,448.525000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,Dix Hills,,,
61,WR2ABA,448.675000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,Huntington,,,
62,K1IMD,448.675000,-,449.237500,Tone,141.3,88.5,023,NN,FM,5.00,,Mattituck,,,
63,WA2VNV,448.825000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,Selden,,,
64,W2SBL,449.175000,-,449.237500,Tone,114.8,88.5,023,NN,FM,5.00,,Holtsville,,,
65,WA2RYY,449.280000,split,444.725000,Tone,114.8,88.5,023,NN,FM,5.00,,Bay Shore,,,
66,W2RC,449.525000,-,444.725000,Tone,114.8,88.5,023,NN,FM,5.00,,Port Jefferson,,,
67,K1IMD,449.625000,-,444.725000,Tone,94.8,88.5,023,NN,FM,5.00,,Sag Harbor,,,
68,K1IMD,449.675000,-,444.725000,Tone,94.8,88.5,023,NN,FM,5.00,,Sag Harbor,,,
69,WA2RYY,449.725000,-,444.725000,Tone,151.4,88.5,023,NN,FM,5.00,,Sayville,,,
70,K2GLP,449.980000,-,444.725000,Tone,94.8,88.5,023,NN,FM,5.00,,Sag Harbor,,,
71,W2YMM,927.312500,-,444.725000,DTCS,88.5,88.5,606,NN,FM,5.00,,West Islip,,,
72,WB2GLW,927.850000,split,927.850000,Tone,146.2,88.5,023,NN,FM,5.00,,Central Islip,,,
73,N2HBA,927.962500,-,927.850000,Tone,151.4,88.5,023,NN,FM,5.00,,Long Island,,,
