Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
2,W4WVP,145.470000,-,144.870000,Tone,107.2,88.5,023,NN,FM,5.00,,Arlington,,,
3,W4AVA,146.625000,-,146.025000,Tone,107.2,107.2,023,NN,FM,5.00,,Arlington,,,
4,WB4MJF,224.060000,-,222.460000,,88.5,88.5,023,NN,FM,5.00,,Arlington,,,
5,WB4MWF,224.620000,-,223.020000,,88.5,88.5,023,NN,FM,5.00,,Arlington,,,
6,AB4YP,443.200000,+,223.020000,Tone,114.8,88.5,023,NN,FM,5.00,,Arlington,,,
7,K4DCA,443.512500,+,448.512500,,88.5,88.5,023,NN,DV,5.00,,"Crystal City, Reagan Airport",CQCQCQ,,0
8,K4AF,444.550000,+,449.550000,Tone,88.5,88.5,023,NN,FM,5.00,,Arlington,,,
9,K4DCA,444.750000,+,449.750000,Tone,203.5,88.5,023,NN,FM,5.00,,"Crystal City, Reagan Airport",,,
10,W4AVA,448.625000,-,443.625000,Tone,107.2,88.5,023,NN,FM,5.00,,Arlington,,,
11,W8HNT,449.325000,-,444.325000,Tone,151.4,88.5,023,NN,FM,5.00,,Arlington,,,
12,K4DCA,1283.200000,-,1271.200000,,88.5,88.5,023,NN,DV,5.00,,"Crystal City, Reagan Airport",CQCQCQ,,0
