Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,,5.332000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
1,,5.348000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
2,,5.358500,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
3,,5.373000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
4,,5.405000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
15,,1.800000,,0.100000,,88.5,88.5,023,NN,CW,2.50,,,,,,
16,,3.500000,,0.100000,,88.5,88.5,023,NN,LSB,2.50,,,,,,
17,,5.250000,,0.100000,,88.5,88.5,023,NN,CW,2.50,,,,,,
18,,7.000000,,0.100000,,88.5,88.5,023,NN,LSB,2.50,,,,,,
19,,10.000000,,0.100000,,88.5,88.5,023,NN,CW,2.50,,,,,,
20,,14.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
21,,18.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
22,,21.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
23,,24.500000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
24,,28.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
25,,50.000000,,1.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
26,,88.000000,,0.000000,,88.5,88.5,023,NN,FM,50.00,,,,,,
27,,118.000000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
28,,146.615000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,,430.000000,,5.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
30,,15.000000,,0.100000,,88.5,88.5,023,NN,AM,5.00,,,,,,
31,,1.800000,,0.100000,,88.5,88.5,023,NN,CW,2.50,,,,,,
32,,3.500000,,0.100000,,88.5,88.5,023,NN,LSB,2.50,,,,,,
33,,5.250000,,0.100000,,88.5,88.5,023,NN,CW,2.50,,,,,,
34,,7.000000,,0.100000,,88.5,88.5,023,NN,LSB,2.50,,,,,,
35,,10.000000,,0.100000,,88.5,88.5,023,NN,CW,2.50,,,,,,
36,,14.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
37,,18.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
38,,21.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
39,,24.500000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
40,,28.000000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
41,,50.000000,,1.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
42,,88.000000,,0.000000,,88.5,88.5,023,NN,FM,50.00,,,,,,
43,,118.000000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
44,,144.000000,,0.600000,,88.5,88.5,023,NN,USB,2.50,,,,,,
45,,430.000000,,5.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
46,,15.000000,,0.100000,,88.5,88.5,023,NN,AM,5.00,,,,,,
47,,29.600000,,0.100000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,,52.525000,,1.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,,446.000000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
51,,146.540000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,MARC,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,IMARC,146.355000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,MARC70,442.750000,+,5.000000,Tone,156.7,156.7,023,NN,FM,5.00,,,,,,
55,HARC-S,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,W4HFH,147.315000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,,,,,
57,FNVFMA,146.790000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,TNVFMA,146.910000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,NATCAL3,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,NATCAL1,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,NATCAL2,144.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,NOAA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,NOAA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,NOAA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,NOAA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,NOAA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,NOAA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,NOAA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
70,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
77,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
78,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
80,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
